nohup: 忽略输入

gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:195 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:198 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:185 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:63 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:188 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:187 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:188 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:190 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:191 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:190 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:199 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:195 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:199 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:201 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:183 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:190 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:63 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:60 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:188 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:195 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:182 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:194 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:198 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:185 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:189 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:191 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:198 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:188 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:207 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:201 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:195 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:198 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:191 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:199 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:194 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:192 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:198 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:192 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:60 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:184 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:205 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:132 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:190 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:183 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:205 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:165 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:191 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:206 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:196 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:60 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:189 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:195 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:199 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:186 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:186 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:188 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:194 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:182 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:198 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:185 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:188 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:199 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:133 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:60 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:189 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:203 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:189 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:193 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:187 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:189 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:207 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:192 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:192 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:207 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:196 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:181 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:191 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:201 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:182 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:195 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:198 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:205 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:187 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:185 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:198 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:186 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:190 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:194 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:207 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:188 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:186 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:192 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:195 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:196 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:193 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:195 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:193 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:192 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:205 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:186 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:204 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:195 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:189 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:187 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:201 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:191 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:190 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:188 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:66 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:184 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:181 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:155 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:199 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:183 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:205 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:112 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:194 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:197 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:189 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:188 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:192 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:177 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:185 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:198 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:199 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:201 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:197 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:184 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:197 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:192 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:100 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:189 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:190 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:199 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:186 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:209 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:196 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:164 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:189 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:201 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:198 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:60 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:190 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:182 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:181 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:199 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:201 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:201 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:63 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:204 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:198 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:194 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:197 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:185 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:192 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:166 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:201 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:187 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:203 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:97 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:191 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:191 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:198 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:124 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:190 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:205 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:207 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:208 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:188 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:192 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:197 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:201 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:197 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:203 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:192 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:194 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:138 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:196 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:192 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:199 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:183 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:188 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:197 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:197 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:192 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:206 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:205 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:202 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:212 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:204 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:191 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:197 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:200 W | monitoring: >>       |
gpu id:0 gpu memory:3797 MiB | gpu power:61 W | monitoring: >>>      |
gpu id:0 gpu memory:3797 MiB | gpu power:188 W | monitoring: >>>>     |
gpu id:0 gpu memory:3797 MiB | gpu power:193 W | monitoring:          |
gpu id:0 gpu memory:3797 MiB | gpu power:194 W | monitoring: >        |
gpu id:0 gpu memory:3797 MiB | gpu power:62 W | monitoring: >>       |
